ID,A,B,NEITHER
development-1,0.3641434609771202,0.5300258965189982,0.10583064250388158
development-2,0.36085668174884233,0.5415905889283529,0.09755272932280484
development-3,0.4017405385560453,0.49366023158231,0.10459922986164456
development-4,0.43404634307960027,0.4588316259028578,0.10712203101754192
development-5,0.4458092713424208,0.4631818717032783,0.09100885695430092
development-6,0.42611987024752734,0.49138486278929056,0.08249526696318207
development-7,0.4290101279122407,0.4594920208956489,0.1114978511921104
development-8,0.44483871270452996,0.43692495595963554,0.11823633133583465
development-9,0.4638041026598289,0.35979111120245766,0.1764047861377134
development-10,0.4115152963404755,0.48284698818300625,0.10563771547651817
development-11,0.42027982863568814,0.4676870099289563,0.11203316143535551
development-12,0.40633087289556286,0.49636688370747206,0.09730224339696501
development-13,0.3489108676333386,0.5597367003320973,0.091352432034564
development-14,0.34433545985860453,0.5721302357207623,0.08353430442063327
development-15,0.3594301794504655,0.5341840284689966,0.10638579208053803
development-16,0.3925984983854022,0.49992799342136035,0.10747350819323753
development-17,0.34329426674966185,0.5774817214451652,0.07922401180517288
development-18,0.4243204237367676,0.4698168675360878,0.10586270872714472
development-19,0.33550687155474795,0.5820403829767032,0.08245274546854882
development-20,0.3370203509703917,0.601103873579022,0.06187577545058629
development-21,0.4358994580074504,0.4260097400658136,0.13809080192673598
development-22,0.5339222136276376,0.3000795886642743,0.16599819770808813
development-23,0.38699024475377836,0.5432216645410539,0.06978809070516771
development-24,0.3632089076369102,0.5607486982524333,0.07604239411065646
development-25,0.38909907196011656,0.5156132664663204,0.0952876615735629
development-26,0.4569140552569086,0.41268832461974186,0.13039762012334946
development-27,0.3345230461975522,0.574552793172553,0.09092416062989471
development-28,0.5280289204057569,0.3043407216535775,0.16763035794066558
development-29,0.4019768919791494,0.47942486024836956,0.11859824777248096
development-30,0.3553843704552328,0.5501018870455227,0.09451374249924463
development-31,0.3850875092774376,0.5258094223469324,0.08910306837562985
development-32,0.4285424246355529,0.48526866535793,0.08618891000651714
development-33,0.32400606025986967,0.6148391704999661,0.06115476924016424
development-34,0.4012120955083021,0.5116426259107867,0.08714527858091124
development-35,0.4255419084683555,0.4818437041204223,0.09261438741122216
development-36,0.38518585510802605,0.5550905846181156,0.05972356027385844
development-37,0.3679724212239137,0.531068899986069,0.10095867879001741
development-38,0.3677631939963313,0.544336773345253,0.08790003265841563
development-39,0.4170661622097975,0.48361872502338255,0.09931511276682
development-40,0.43269763865106964,0.4562641648341776,0.11103819651475282
development-41,0.384748719679059,0.5084383053772518,0.10681297494368935
development-42,0.38103950007822124,0.5474210659595313,0.07153943396224734
development-43,0.40908654530607513,0.4168572107384313,0.17405624395549354
development-44,0.3266526524679415,0.6112458682333636,0.06210147929869492
development-45,0.3644048164946573,0.541156478713081,0.09443870479226174
development-46,0.5220187709096361,0.30224833225154873,0.17573289683881518
development-47,0.4310781342756141,0.4553555295749837,0.1135663361494022
development-48,0.34227158769434757,0.5713022174308577,0.08642619487479478
development-49,0.4265233634732821,0.44881594567067423,0.12466069085604357
development-50,0.26452827639297644,0.526312353386378,0.20915937022064532
development-51,0.3621130076054494,0.5243438104046415,0.11354318198990912
development-52,0.33970703261390234,0.565307195476753,0.09498577190934476
development-53,0.48559820305752754,0.32490486625971715,0.18949693068275522
development-54,0.4746055173157127,0.41277946744229366,0.11261501524199365
development-55,0.42212391299556845,0.4760098699288922,0.10186621707553925
development-56,0.44978994495378394,0.4228798083652553,0.1273302466809608
development-57,0.4262743894963128,0.4561882308532009,0.1175373796504864
development-58,0.43000799037574355,0.4549561322084132,0.1150358774158432
development-59,0.39317959439698796,0.504364558866486,0.10245584673652605
development-60,0.4586673863199198,0.4088177206143681,0.13251489306571212
development-61,0.3680022297667347,0.5576776155279896,0.07432015470527588
development-62,0.3689352139498688,0.5351484059762666,0.09591638007386476
development-63,0.34611861490986406,0.5812497333868909,0.07263165170324505
development-64,0.42155663861319204,0.4746821621815431,0.10376119920526485
development-65,0.4064469606383479,0.47164016590999625,0.12191287345165584
development-66,0.44017070984153556,0.4431785627475998,0.11665072741086455
development-67,0.36646342964807277,0.5331082375896475,0.10042833276227968
development-68,0.5842902561176238,0.2727048033634397,0.1430049405189366
development-69,0.37834860480795846,0.5261563068534956,0.09549508833854603
development-70,0.41767000354014494,0.47228691340403134,0.11004308305582365
development-71,0.36823092928437606,0.5392639902680189,0.09250508044760503
development-72,0.404520488782132,0.32776983084865696,0.267709680369211
development-73,0.3304942816643929,0.5964679454224059,0.07303777291320132
development-74,0.5168534429774326,0.303360115238741,0.17978644178382652
development-75,0.3539995261556854,0.5679718065658657,0.078028667278449
development-76,0.4351489014074521,0.4445046142484626,0.12034648434408533
development-77,0.38305244016794643,0.52417445015844,0.09277310967361359
development-78,0.37438813740536664,0.5432490411960854,0.08236282139854795
development-79,0.3623369711376615,0.5647407714611518,0.07292225740118667
development-80,0.5230690494733103,0.3059266113254058,0.17100433920128386
development-81,0.7329411734325242,0.1868578511515663,0.0802009754159095
development-82,0.33689593971469856,0.5810136858005911,0.08209037448471034
development-83,0.37259018798439714,0.527184599436946,0.10022521257865678
development-84,0.3842189397961099,0.5210307672440854,0.09475029295980471
development-85,0.36066731241194055,0.5375145640163876,0.10181812357167178
development-86,0.5447930599719346,0.2939241242882183,0.16128281573984707
development-87,0.39974048608193874,0.48899910091340437,0.11126041300465672
development-88,0.37019095031756494,0.521129390394109,0.108679659288326
development-89,0.5360505284448497,0.2998143964381829,0.16413507511696745
development-90,0.32045215015557516,0.6033291996429835,0.07621865020144124
development-91,0.42733272289011176,0.4675366335306522,0.10513064357923603
development-92,0.2905830754397991,0.6661572346266884,0.04325968993351257
development-93,0.3973290126867092,0.3935986187476249,0.20907236856566597
development-94,0.4471779244154561,0.4531489859685885,0.09967308961595547
development-95,0.6332412794269874,0.24561369525673682,0.12114502531627581
development-96,0.43135105938062984,0.46318955815774515,0.105459382461625
development-97,0.5317290119110278,0.3026248656838346,0.16564612240513762
development-98,0.4270635105274325,0.4838904824654004,0.08904600700716701
development-99,0.35171326718007295,0.5502973556528018,0.09798937716712529
development-100,0.4010561754399395,0.5145184010385807,0.08442542352147973
development-101,0.4528858616816959,0.46689129474565216,0.08022284357265198
development-102,0.5031173370595148,0.24373545720442286,0.25314720573606236
development-103,0.4218176004718766,0.42033040747353545,0.15785199205458794
